Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CUPA,47.541,47.098,46.450,45.894,45.589,45.347,45.268,45.375,45.627,45.964,46.391,46.992,47.861,48.773,49.765,50.804,51.891,53.006,54.183,55.133,55.921,56.582,57.367,58.500,59.205,59.520,60.002,60.626,61.121,61.330,61.290,61.418
CURR,10.813,10.681,10.505,10.375,10.341,10.351,10.437,10.618,10.873,11.190,11.573,12.035,12.639,13.239,13.896,14.595,15.299,16.015,16.726,17.324,17.820,18.211,18.594,19.049,19.327,19.421,19.578,19.776,19.921,19.984,19.951,19.974
DALM3,27.447,27.174,26.777,26.447,26.278,26.156,26.147,26.266,26.486,26.764,27.112,27.571,28.211,28.874,29.594,30.348,31.132,31.932,32.764,33.441,34.002,34.464,34.991,35.723,36.173,36.362,36.658,37.046,37.350,37.477,37.444,37.521
DEVM,24.785,24.586,24.309,24.059,23.922,23.810,23.763,23.798,23.901,24.050,24.246,24.543,24.987,25.445,25.951,26.491,27.044,27.620,28.223,28.712,29.116,29.466,29.853,30.381,30.722,30.891,31.126,31.402,31.625,31.728,31.710,31.758
DEVO,53.823,53.242,52.363,51.640,51.240,50.931,50.837,51.000,51.342,51.768,52.292,52.989,53.958,55.005,56.118,57.262,58.495,59.731,61.058,62.113,62.995,63.716,64.641,66.064,66.911,67.259,67.839,68.659,69.302,69.551,69.498,69.696
DEWP,56.913,56.892,56.498,56.205,55.985,55.693,55.407,55.133,54.827,54.448,53.991,53.613,52.913,53.151,53.404,53.669,53.980,54.332,54.783,55.104,55.371,55.662,56.129,56.965,57.518,57.857,58.310,58.864,59.328,59.537,59.549,59.686
DOUN_P,6.546,6.478,6.369,6.275,6.213,6.157,6.119,6.102,6.095,6.088,6.082,6.084,6.098,6.124,6.149,6.167,6.200,6.229,6.277,6.307,6.332,6.355,6.417,6.548,6.626,6.661,6.721,6.814,6.889,6.915,6.915,6.944
DRAK_1,214.329,212.069,208.792,206.022,204.515,203.335,202.966,203.558,204.829,206.463,208.495,211.256,215.158,219.312,223.774,228.397,233.314,238.292,243.594,247.844,251.378,254.304,257.929,263.362,266.652,268.053,270.298,273.372,275.793,276.767,276.571,277.286
DRAX_1,119.343,118.091,116.085,114.419,113.408,112.528,112.046,112.036,112.300,112.620,113.015,113.640,114.527,115.828,117.148,118.429,119.952,121.454,123.210,124.527,125.635,126.562,128.111,130.896,132.513,133.213,134.407,136.199,137.626,138.145,138.087,138.605
DRCR,17.838,17.655,17.386,17.168,17.058,16.984,16.986,17.077,17.240,17.443,17.694,18.018,18.467,18.929,19.431,19.960,20.507,21.062,21.638,22.108,22.498,22.817,23.177,23.678,23.983,24.105,24.304,24.568,24.773,24.856,24.834,24.886
