Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
COYL,0.000,0.000,0.118,0.324,0.635,1.041,1.545,2.130,2.741,3.377,4.045,4.692,5.256,5.682,5.947,6.052,6.029,5.964,5.908,5.898,5.931,5.777,5.808,5.825,5.826,5.813,5.783,5.732,5.661,5.560,5.386,5.192
CRAI_P,0.000,0.000,0.107,0.296,0.580,0.950,1.411,1.945,2.503,3.084,3.694,4.284,4.799,5.188,5.430,5.526,5.505,5.445,5.395,5.385,5.416,5.274,5.303,5.319,5.319,5.307,5.280,5.234,5.169,5.077,4.918,4.740
CREB_1,1.885,3.155,4.822,7.000,9.749,12.931,16.838,21.578,27.131,33.423,40.037,46.430,52.012,56.236,58.857,59.898,59.663,59.022,58.470,58.369,58.700,57.168,57.482,57.647,57.653,57.527,57.226,56.725,56.021,55.025,53.304,51.381
CROO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CUMB,0.000,0.000,0.108,0.298,0.585,0.958,1.423,1.962,2.525,3.110,3.726,4.321,4.840,5.233,5.477,5.574,5.552,5.492,5.441,5.432,5.462,5.320,5.349,5.364,5.365,5.353,5.325,5.279,5.213,5.121,4.960,4.781
CUPA,0.000,0.000,0.125,0.343,0.673,1.102,1.637,2.256,2.904,3.578,4.286,4.970,5.568,6.020,6.300,6.412,6.387,6.318,6.259,6.248,6.283,6.119,6.153,6.171,6.171,6.158,6.126,6.072,5.997,5.890,5.706,5.500
CURR,0.000,0.000,0.086,0.237,0.465,0.762,1.132,1.561,2.009,2.474,2.964,3.437,3.851,4.163,4.357,4.434,4.417,4.369,4.329,4.321,4.346,4.232,4.255,4.268,4.268,4.259,4.236,4.199,4.147,4.074,3.946,3.804
DALM3,0.000,0.000,0.091,0.250,0.491,0.804,1.194,1.646,2.118,2.609,3.125,3.625,4.060,4.390,4.595,4.676,4.658,4.607,4.564,4.557,4.582,4.463,4.487,4.500,4.501,4.491,4.467,4.428,4.373,4.296,4.161,4.011
DEVM,0.000,0.000,0.067,0.186,0.364,0.596,0.885,1.220,1.571,1.935,2.318,2.688,3.011,3.256,3.407,3.468,3.454,3.417,3.385,3.379,3.398,3.310,3.328,3.337,3.338,3.330,3.313,3.284,3.243,3.186,3.086,2.975
DEVO,0.000,0.000,0.130,0.360,0.705,1.156,1.716,2.365,3.045,3.751,4.493,5.210,5.837,6.311,6.605,6.722,6.695,6.623,6.561,6.550,6.587,6.415,6.451,6.469,6.470,6.456,6.422,6.366,6.287,6.175,5.982,5.766
DEWP,0.950,1.580,1.866,1.987,1.902,1.591,1.176,0.804,0.713,0.878,1.052,1.219,1.366,1.477,1.546,1.573,1.567,1.550,1.536,1.533,1.542,1.502,1.510,1.514,1.514,1.511,1.503,1.490,1.471,1.445,1.400,1.349
DOUN_P,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.007,0.009,0.011,0.013,0.015,0.017,0.019,0.020,0.020,0.020,0.020,0.019,0.019,0.020,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.017
DRAK_1,0.000,0.000,0.538,1.484,2.909,4.766,7.078,9.756,12.557,15.469,18.530,21.489,24.073,26.028,27.241,27.722,27.614,27.317,27.062,27.015,27.168,26.459,26.604,26.681,26.683,26.625,26.486,26.254,25.928,25.467,24.671,23.781
DRAX_1,0.198,0.332,0.510,0.744,1.040,1.385,1.808,2.321,2.919,3.596,4.308,4.996,5.597,6.051,6.333,6.445,6.420,6.351,6.291,6.281,6.316,6.151,6.185,6.203,6.204,6.190,6.157,6.104,6.028,5.921,5.736,5.529
DRCR,0.000,0.000,0.063,0.174,0.341,0.560,0.831,1.145,1.474,1.816,2.175,2.522,2.826,3.055,3.197,3.254,3.241,3.206,3.176,3.171,3.189,3.106,3.123,3.132,3.132,3.125,3.109,3.081,3.043,2.989,2.896,2.791
DRUM,0.000,0.000,0.173,0.478,0.937,1.535,2.279,3.141,4.043,4.981,5.966,6.919,7.751,8.380,8.771,8.926,8.891,8.796,8.713,8.698,8.748,8.519,8.566,8.591,8.592,8.573,8.528,8.453,8.348,8.200,7.943,7.657
DUBE_P,0.000,0.000,0.006,0.017,0.034,0.056,0.083,0.114,0.147,0.181,0.217,0.252,0.282,0.305,0.319,0.325,0.324,0.320,0.317,0.317,0.319,0.310,0.312,0.313,0.313,0.312,0.311,0.308,0.304,0.299,0.289,0.279
DUDH_P,0.530,0.880,1.101,1.279,1.396,1.438,1.475,1.578,1.851,2.281,2.732,3.168,3.549,3.837,4.016,4.087,4.071,4.027,3.990,3.983,4.005,3.901,3.922,3.933,3.934,3.925,3.905,3.871,3.823,3.755,3.637,3.506
DUGR_P,0.000,0.000,0.025,0.068,0.134,0.219,0.325,0.448,0.577,0.710,0.851,0.987,1.106,1.195,1.251,1.273,1.268,1.255,1.243,1.241,1.248,1.215,1.222,1.225,1.226,1.223,1.217,1.206,1.191,1.170,1.133,1.092
DUMF,0.170,0.290,0.335,0.348,0.317,0.241,0.142,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
