Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DOUN_P,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.003,0.005,0.006,0.007,0.009,0.011,0.013,0.015,0.017,0.019,0.022,0.024,0.027,0.028,0.030,0.031,0.032,0.033,0.033,0.033,0.034,0.034,0.035,0.035
DRAK_1,0.000,0.000,0.244,0.528,0.990,1.624,2.453,3.508,4.802,6.361,8.193,10.290,12.936,15.250,17.835,20.643,23.683,27.020,30.443,33.792,37.013,39.448,41.385,43.247,44.767,45.945,46.641,46.414,47.065,47.686,48.233,48.746
DRAX_1,0.168,0.246,0.344,0.466,0.600,0.763,0.956,1.185,1.452,1.764,2.126,2.542,3.007,3.545,4.146,4.799,5.506,6.282,7.078,7.856,8.605,9.171,9.621,10.054,10.408,10.682,10.843,10.791,10.942,11.086,11.213,11.333
DRCR,0.000,0.000,0.029,0.062,0.116,0.191,0.288,0.412,0.564,0.747,0.962,1.208,1.518,1.790,2.093,2.423,2.780,3.171,3.573,3.966,4.344,4.630,4.857,5.076,5.254,5.393,5.474,5.448,5.524,5.597,5.661,5.721
DRUM,0.000,0.000,0.078,0.170,0.319,0.523,0.790,1.129,1.546,2.048,2.638,3.313,4.165,4.910,5.743,6.647,7.626,8.700,9.802,10.881,11.918,12.701,13.325,13.925,14.414,14.794,15.018,14.944,15.154,15.354,15.530,15.695
DUBE_P,0.000,0.000,0.003,0.006,0.012,0.019,0.029,0.041,0.056,0.075,0.096,0.121,0.152,0.179,0.209,0.242,0.278,0.317,0.357,0.396,0.434,0.462,0.485,0.507,0.525,0.539,0.547,0.544,0.552,0.559,0.565,0.572
DUDH_P,0.450,0.650,0.798,0.990,1.130,1.264,1.387,1.499,1.599,1.695,1.795,1.914,1.907,2.248,2.629,3.043,3.492,3.984,4.488,4.982,5.457,5.816,6.101,6.376,6.600,6.774,6.876,6.843,6.939,7.030,7.111,7.186
DUGR_P,0.000,0.000,0.011,0.024,0.046,0.075,0.113,0.161,0.221,0.292,0.376,0.473,0.594,0.701,0.819,0.948,1.088,1.241,1.398,1.552,1.700,1.812,1.901,1.986,2.056,2.110,2.142,2.132,2.162,2.190,2.215,2.239
DUMF,0.150,0.210,0.250,0.299,0.323,0.336,0.336,0.322,0.292,0.248,0.193,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DUNB,0.000,0.000,0.040,0.086,0.161,0.263,0.398,0.569,0.779,1.032,1.329,1.669,2.098,2.473,2.893,3.348,3.841,4.382,4.937,5.481,6.003,6.398,6.712,7.014,7.260,7.452,7.564,7.528,7.633,7.734,7.823,7.906
DUNF,0.000,0.000,0.042,0.092,0.172,0.282,0.426,0.609,0.833,1.104,1.422,1.786,2.245,2.646,3.095,3.582,4.109,4.689,5.282,5.864,6.423,6.845,7.181,7.504,7.768,7.972,8.093,8.054,8.167,8.274,8.369,8.458
DUNO_P,0.000,0.000,0.020,0.043,0.080,0.131,0.199,0.284,0.389,0.515,0.663,0.833,1.047,1.234,1.443,1.671,1.916,2.187,2.464,2.735,2.995,3.192,3.349,3.500,3.623,3.718,3.774,3.756,3.809,3.859,3.903,3.945
DYCE_P,0.270,0.400,0.527,0.689,0.846,1.027,1.231,1.464,1.726,2.028,2.374,2.772,3.179,3.749,4.384,5.074,5.821,6.642,7.483,8.306,9.098,9.696,10.172,10.630,11.004,11.293,11.464,11.408,11.568,11.721,11.855,11.982
EALI_6,0.000,0.000,0.207,0.449,0.842,1.381,2.086,2.983,4.083,5.409,6.967,8.750,11.000,12.968,15.166,17.554,20.139,22.977,25.887,28.735,31.474,33.544,35.191,36.775,38.068,39.070,39.662,39.468,40.022,40.550,41.015,41.451
EASO_1,1.511,2.219,3.450,4.965,6.844,9.229,12.168,15.756,20.031,25.098,31.012,37.792,45.819,54.016,63.172,73.116,83.884,95.704,107.828,119.690,131.099,139.722,146.583,153.178,158.563,162.737,165.202,164.396,166.703,168.901,170.841,172.658
ECCL,0.000,0.000,0.034,0.073,0.137,0.225,0.340,0.486,0.665,0.881,1.135,1.425,1.791,2.112,2.470,2.859,3.280,3.742,4.216,4.680,5.126,5.463,5.731,5.989,6.200,6.363,6.459,6.428,6.518,6.604,6.680,6.751
