Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NETS,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.013,0.015,0.019,0.021,0.024,0.028,0.033,0.038,0.045,0.052,0.061,0.071,0.082,0.095,0.109,0.126,0.145,0.166,0.188,0.213,0.240,0.269,0.301,0.347
NEWX_6,0.171,0.212,0.256,0.307,0.365,0.428,0.491,0.584,0.688,0.800,1.001,1.135,1.290,1.466,1.728,2.027,2.382,2.788,3.248,3.770,4.366,5.046,5.817,6.702,7.709,8.813,10.017,11.329,12.754,14.302,16.006,18.462
NFLE,0.233,0.287,0.348,0.417,0.496,0.582,0.667,0.792,0.934,1.086,1.360,1.541,1.751,1.991,2.347,2.752,3.234,3.785,4.409,5.118,5.928,6.851,7.899,9.100,10.467,11.966,13.602,15.382,17.318,19.419,21.733,25.068
NHYD_6,0.073,0.090,0.109,0.131,0.156,0.183,0.210,0.249,0.294,0.342,0.428,0.485,0.551,0.626,0.738,0.865,1.017,1.190,1.387,1.610,1.864,2.154,2.484,2.862,3.291,3.763,4.277,4.837,5.446,6.107,6.834,7.883
NINF_1,0.233,0.288,0.349,0.418,0.497,0.583,0.668,0.794,0.936,1.088,1.362,1.543,1.754,1.994,2.351,2.757,3.240,3.791,4.417,5.127,5.938,6.863,7.912,9.116,10.485,11.986,13.625,15.409,17.347,19.452,21.771,25.111
NORL_3,0.035,0.044,0.053,0.064,0.076,0.089,0.102,0.121,0.142,0.165,0.207,0.235,0.267,0.303,0.357,0.419,0.493,0.577,0.672,0.780,0.903,1.044,1.203,1.386,1.594,1.823,2.072,2.343,2.638,2.958,3.310,3.818
NORM_1;SALL1,0.360,0.446,0.540,0.647,0.769,0.902,1.034,1.229,1.449,1.685,2.109,2.390,2.717,3.088,3.640,4.269,5.016,5.871,6.840,7.939,9.195,10.626,12.251,14.116,16.235,18.561,21.098,23.860,26.862,30.120,33.711,38.883
NORT_1,0.256,0.316,0.383,0.459,0.545,0.640,0.733,0.871,1.027,1.194,1.495,1.694,1.926,2.189,2.581,3.027,3.557,4.162,4.849,5.629,6.519,7.534,8.686,10.008,11.510,13.159,14.958,16.916,19.045,21.355,23.901,27.568
NURS_1,0.148,0.183,0.221,0.265,0.315,0.370,0.424,0.504,0.594,0.691,0.865,0.980,1.114,1.266,1.492,1.750,2.057,2.407,2.804,3.255,3.770,4.357,5.023,5.788,6.656,7.610,8.650,9.783,11.013,12.350,13.822,15.942
OCKH_1,0.058,0.071,0.086,0.103,0.123,0.144,0.165,0.196,0.231,0.269,0.336,0.381,0.433,0.492,0.580,0.681,0.800,0.936,1.090,1.266,1.466,1.694,1.953,2.251,2.588,2.959,3.364,3.804,4.283,4.802,5.375,6.199
OFFE_3,0.034,0.042,0.051,0.062,0.073,0.086,0.099,0.117,0.138,0.161,0.201,0.228,0.259,0.294,0.347,0.407,0.478,0.560,0.652,0.757,0.876,1.013,1.168,1.345,1.547,1.769,2.011,2.274,2.560,2.871,3.213,3.706
OLDB_1,0.062,0.077,0.093,0.112,0.133,0.156,0.179,0.212,0.250,0.291,0.364,0.413,0.469,0.533,0.628,0.737,0.866,1.014,1.181,1.371,1.587,1.835,2.115,2.437,2.803,3.204,3.642,4.119,4.637,5.200,5.820,6.713
OSBA_1,0.170,0.210,0.255,0.305,0.363,0.426,0.488,0.581,0.684,0.796,0.996,1.129,1.283,1.458,1.719,2.016,2.369,2.773,3.231,3.750,4.343,5.019,5.787,6.667,7.668,8.767,9.965,11.270,12.687,14.227,15.922,18.365
PADIB1,0.114,0.141,0.171,0.205,0.243,0.285,0.327,0.389,0.458,0.533,0.667,0.756,0.859,0.977,1.151,1.350,1.586,1.857,2.163,2.511,2.908,3.361,3.875,4.464,5.135,5.870,6.672,7.546,8.495,9.526,10.661,12.297
PAIS,0.010,0.012,0.014,0.017,0.020,0.024,0.027,0.033,0.038,0.045,0.056,0.063,0.072,0.082,0.097,0.113,0.133,0.156,0.182,0.211,0.244,0.282,0.325,0.375,0.431,0.493,0.560,0.634,0.713,0.800,0.895,1.033
PART,0.022,0.026,0.032,0.038,0.045,0.053,0.061,0.073,0.086,0.100,0.125,0.141,0.161,0.183,0.215,0.252,0.297,0.347,0.404,0.469,0.543,0.628,0.724,0.834,0.960,1.097,1.247,1.410,1.588,1.780,1.993,2.298
PEHG_P,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.009,0.010,0.011,0.013,0.015,0.018,0.021,0.024,0.028,0.033,0.038,0.044,0.050,0.058,0.067,0.076,0.087,0.098,0.111,0.124,0.139,0.160
PEHS_P;STRI_P,0.012,0.014,0.017,0.021,0.024,0.028,0.033,0.039,0.045,0.053,0.066,0.075,0.086,0.097,0.114,0.134,0.158,0.185,0.215,0.250,0.289,0.334,0.385,0.443,0.510,0.583,0.663,0.750,0.844,0.946,1.059,1.221
