Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PART,0.022,0.023,0.024,0.026,0.027,0.030,0.033,0.036,0.040,0.044,0.050,0.053,0.057,0.060,0.065,0.069,0.074,0.079,0.085,0.090,0.097,0.103,0.110,0.118,0.125,0.133,0.140,0.147,0.155,0.162,0.170,0.183
PEHG_P,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.010,0.010,0.011,0.011,0.012,0.013
PEHS_P;STRI_P,0.012,0.012,0.013,0.014,0.015,0.016,0.018,0.019,0.021,0.023,0.027,0.028,0.030,0.032,0.035,0.036,0.039,0.042,0.045,0.048,0.051,0.054,0.059,0.063,0.066,0.071,0.074,0.078,0.083,0.086,0.090,0.098
PELH_1,0.139,0.148,0.158,0.168,0.179,0.198,0.212,0.235,0.259,0.283,0.325,0.346,0.369,0.392,0.420,0.450,0.482,0.515,0.551,0.588,0.628,0.671,0.716,0.764,0.815,0.861,0.909,0.956,1.005,1.055,1.106,1.191
PEMB_1,0.074,0.079,0.084,0.089,0.095,0.105,0.113,0.126,0.138,0.151,0.174,0.185,0.197,0.209,0.224,0.240,0.257,0.275,0.294,0.314,0.335,0.358,0.382,0.408,0.435,0.460,0.485,0.510,0.536,0.563,0.590,0.635
PENE_1,0.123,0.131,0.139,0.148,0.158,0.175,0.188,0.208,0.229,0.251,0.288,0.307,0.326,0.347,0.372,0.399,0.427,0.456,0.488,0.521,0.556,0.594,0.634,0.677,0.722,0.763,0.804,0.847,0.890,0.934,0.979,1.054
PENN_1,0.207,0.222,0.236,0.251,0.267,0.296,0.317,0.352,0.388,0.424,0.487,0.518,0.552,0.586,0.629,0.674,0.721,0.771,0.824,0.880,0.940,1.004,1.071,1.143,1.220,1.289,1.360,1.431,1.504,1.579,1.655,1.782
PENT_1,0.067,0.072,0.076,0.081,0.087,0.096,0.103,0.114,0.126,0.138,0.158,0.168,0.179,0.190,0.204,0.218,0.234,0.250,0.267,0.286,0.305,0.326,0.347,0.371,0.396,0.418,0.441,0.464,0.488,0.512,0.537,0.578
PENW_1;STAH_1;WABO,0.263,0.281,0.298,0.317,0.339,0.374,0.401,0.446,0.490,0.537,0.616,0.657,0.698,0.743,0.795,0.852,0.912,0.975,1.043,1.114,1.189,1.270,1.356,1.447,1.543,1.631,1.721,1.810,1.903,1.998,2.093,2.255
PERS_P,0.021,0.022,0.024,0.025,0.027,0.030,0.032,0.035,0.039,0.042,0.049,0.052,0.055,0.059,0.063,0.067,0.072,0.077,0.082,0.088,0.094,0.100,0.107,0.114,0.122,0.129,0.136,0.143,0.150,0.158,0.165,0.178
