Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DRAK_1,66.646,63.610,62.929,61.853,61.032,60.079,59.124,58.171,57.237,56.294,55.342,54.697,54.395,54.138,53.927,53.770,53.669,53.654,53.732,53.859,54.059,54.409,54.976,55.683,56.464,57.349,58.221,59.058,59.732,60.296,60.864,61.359
DRAX_1,34.914,33.324,32.967,32.403,31.973,31.474,30.973,30.474,29.985,29.491,28.992,28.654,28.496,28.361,28.251,28.168,28.116,28.108,28.149,28.215,28.320,28.503,28.800,29.171,29.580,30.043,30.500,30.939,31.292,31.587,31.885,32.144
DRCR,5.538,5.293,5.238,5.151,5.084,5.006,4.928,4.850,4.774,4.697,4.620,4.567,4.543,4.523,4.507,4.495,4.488,4.488,4.495,4.507,4.525,4.555,4.603,4.663,4.729,4.804,4.877,4.948,5.005,5.053,5.102,5.145
DRUM,13.055,12.477,12.346,12.143,11.985,11.801,11.617,11.434,11.254,11.073,10.890,10.766,10.710,10.663,10.624,10.596,10.579,10.579,10.597,10.624,10.667,10.738,10.851,10.992,11.147,11.323,11.497,11.664,11.799,11.912,12.027,12.128
DUBE_P,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DUDH_P,15.645,14.952,14.796,14.552,14.363,14.143,13.922,13.702,13.487,13.270,13.051,12.902,12.835,12.778,12.731,12.698,12.678,12.678,12.699,12.732,12.783,12.868,13.004,13.173,13.359,13.570,13.778,13.978,14.140,14.276,14.414,14.535
DUGR_P,1.531,1.463,1.448,1.424,1.405,1.384,1.362,1.341,1.320,1.299,1.277,1.263,1.256,1.250,1.246,1.243,1.241,1.241,1.243,1.246,1.251,1.259,1.273,1.289,1.307,1.328,1.348,1.368,1.384,1.397,1.410,1.422
DUMF,16.721,15.981,15.813,15.553,15.350,15.115,14.880,14.645,14.415,14.183,13.948,13.790,13.718,13.657,13.608,13.571,13.549,13.550,13.573,13.608,13.663,13.754,13.899,14.079,14.278,14.504,14.726,14.940,15.113,15.258,15.405,15.535
DUNB,6.881,6.576,6.508,6.401,6.317,6.220,6.123,6.027,5.932,5.837,5.740,5.675,5.645,5.620,5.600,5.585,5.576,5.576,5.586,5.600,5.622,5.660,5.720,5.794,5.876,5.969,6.060,6.148,6.219,6.279,6.340,6.393
DUNF,8.703,8.317,8.230,8.095,7.989,7.867,7.744,7.622,7.502,7.382,7.260,7.177,7.140,7.108,7.082,7.064,7.052,7.052,7.064,7.082,7.111,7.158,7.234,7.328,7.431,7.548,7.664,7.775,7.866,7.941,8.018,8.085
DUNO_P,3.929,3.755,3.716,3.655,3.607,3.552,3.496,3.441,3.387,3.333,3.278,3.240,3.223,3.209,3.197,3.189,3.184,3.184,3.189,3.197,3.210,3.232,3.266,3.308,3.355,3.408,3.460,3.510,3.551,3.585,3.620,3.650
DYCE_P,10.509,10.044,9.939,9.775,9.648,9.500,9.352,9.204,9.060,8.914,8.767,8.667,8.622,8.584,8.552,8.530,8.516,8.516,8.531,8.553,8.587,8.644,8.735,8.849,8.974,9.115,9.255,9.389,9.498,9.590,9.682,9.764
EALI_6,64.555,61.614,60.955,59.913,59.118,58.194,57.269,56.345,55.441,54.528,53.606,52.980,52.688,52.440,52.235,52.083,51.985,51.971,52.046,52.169,52.363,52.702,53.251,53.936,54.692,55.549,56.394,57.205,57.858,58.404,58.955,59.434
EASO_1,90.125,86.019,85.098,83.643,82.533,81.244,79.952,78.663,77.400,76.126,74.838,73.965,73.557,73.210,72.924,72.712,72.576,72.556,72.661,72.832,73.103,73.577,74.343,75.299,76.355,77.552,78.731,79.863,80.775,81.537,82.306,82.975
ECCL,7.415,7.087,7.013,6.897,6.808,6.703,6.599,6.495,6.393,6.290,6.186,6.115,6.084,6.057,6.034,6.019,6.009,6.009,6.019,6.035,6.059,6.099,6.164,6.244,6.332,6.432,6.530,6.625,6.702,6.766,6.832,6.889
ECLA_1,106.821,101.955,100.863,99.139,97.823,96.296,94.764,93.236,91.739,90.229,88.702,87.668,87.185,86.773,86.434,86.182,86.021,85.997,86.122,86.325,86.646,87.207,88.116,89.249,90.500,91.919,93.317,94.658,95.739,96.642,97.554,98.347
EERH,20.816,19.894,19.686,19.362,19.110,18.817,18.524,18.231,17.945,17.656,17.364,17.167,17.077,17.002,16.939,16.895,16.868,16.868,16.897,16.940,17.008,17.122,17.302,17.527,17.775,18.055,18.332,18.598,18.814,18.994,19.178,19.339
