Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CHAR_P,0.000,0.000,0.085,0.234,0.441,0.717,1.056,1.438,1.826,2.216,2.625,3.029,3.424,3.769,4.044,4.244,4.393,4.498,4.586,4.678,4.772,4.873,4.983,5.074,5.161,5.236,5.302,5.359,5.410,5.456,5.494,5.522
CHAS,2.760,4.540,5.271,5.477,4.823,3.665,2.171,0.759,0.111,0.134,0.159,0.184,0.208,0.229,0.245,0.257,0.266,0.273,0.278,0.283,0.289,0.295,0.302,0.308,0.313,0.317,0.321,0.325,0.328,0.331,0.333,0.335
CHIC_1,0.015,0.025,0.376,0.987,1.830,2.956,4.334,5.889,7.475,9.073,10.747,12.400,14.017,15.431,16.557,17.375,17.983,18.413,18.773,19.149,19.534,19.951,20.400,20.771,21.127,21.436,21.707,21.941,22.149,22.334,22.491,22.606
CHSI_1,2.581,4.247,6.220,8.673,11.199,14.308,18.046,22.515,27.795,33.739,39.963,46.110,52.123,57.379,61.566,64.607,66.869,68.469,69.805,71.205,72.636,74.187,75.856,77.236,78.558,79.709,80.715,81.586,82.360,83.049,83.632,84.058
CHTE_1,0.000,0.000,1.674,4.618,8.710,14.175,20.871,28.417,36.090,43.808,51.890,59.871,67.679,74.504,79.939,83.888,86.825,88.903,90.638,92.455,94.313,96.327,98.494,100.286,102.002,103.498,104.803,105.934,106.939,107.835,108.592,109.144
CITR_1,0.599,0.985,1.481,2.118,2.799,3.648,4.670,5.882,7.285,8.843,10.474,12.086,13.662,15.039,16.137,16.934,17.527,17.946,18.296,18.663,19.038,19.445,19.882,20.244,20.590,20.892,21.156,21.384,21.587,21.768,21.920,22.032
CLAY_P,0.310,0.510,0.661,0.810,0.912,1.017,1.137,1.302,1.558,1.891,2.240,2.584,2.921,3.216,3.451,3.621,3.748,3.838,3.912,3.991,4.071,4.158,4.251,4.329,4.403,4.467,4.524,4.573,4.616,4.655,4.687,4.711
CLYM,0.000,0.000,0.179,0.493,0.930,1.514,2.229,3.035,3.854,4.678,5.542,6.394,7.228,7.957,8.537,8.959,9.272,9.494,9.680,9.874,10.072,10.287,10.519,10.710,10.893,11.053,11.193,11.313,11.421,11.516,11.597,11.656
COAT,0.000,0.000,0.138,0.382,0.720,1.172,1.725,2.349,2.983,3.621,4.289,4.949,5.594,6.158,6.607,6.934,7.177,7.348,7.492,7.642,7.796,7.962,8.141,8.289,8.431,8.555,8.663,8.756,8.839,8.913,8.976,9.021
COCK,0.000,0.000,0.150,0.413,0.779,1.268,1.866,2.541,3.227,3.918,4.640,5.354,6.052,6.663,7.149,7.502,7.764,7.950,8.105,8.268,8.434,8.614,8.808,8.968,9.122,9.255,9.372,9.473,9.563,9.643,9.711,9.760
CONQA1;SASA,0.505,0.831,1.602,2.760,4.196,6.063,8.337,10.949,13.749,16.689,19.768,22.809,25.783,28.383,30.454,31.958,33.077,33.869,34.530,35.222,35.930,36.697,37.523,38.205,38.859,39.429,39.926,40.357,40.740,41.081,41.369,41.580
COUA_P,0.000,0.000,0.069,0.189,0.357,0.581,0.855,1.165,1.479,1.796,2.127,2.454,2.774,3.054,3.277,3.438,3.559,3.644,3.715,3.789,3.866,3.948,4.037,4.110,4.181,4.242,4.296,4.342,4.383,4.420,4.451,4.474
COVE_1,1.587,2.611,4.460,7.088,10.196,14.185,19.029,24.646,30.809,37.398,44.297,51.110,57.775,63.601,68.242,71.613,74.120,75.894,77.375,78.926,80.512,82.231,84.081,85.611,87.076,88.353,89.467,90.433,91.291,92.055,92.701,93.173
COWL_1;ECLA_H,0.000,0.000,1.721,4.747,8.953,14.570,21.452,29.209,37.096,45.029,53.336,61.540,69.565,76.580,82.167,86.227,89.245,91.381,93.164,95.032,96.942,99.012,101.239,103.081,104.845,106.383,107.724,108.886,109.920,110.840,111.618,112.186
COYL,0.000,0.000,0.124,0.341,0.642,1.045,1.539,2.096,2.662,3.231,3.827,4.415,4.991,5.494,5.895,6.186,6.403,6.556,6.684,6.818,6.955,7.104,7.263,7.396,7.522,7.633,7.729,7.812,7.886,7.952,8.008,8.049
CRAI_P,0.000,0.000,0.113,0.311,0.587,0.955,1.405,1.913,2.430,2.950,3.494,4.031,4.557,5.017,5.383,5.649,5.846,5.986,6.103,6.225,6.351,6.486,6.632,6.753,6.868,6.969,7.057,7.133,7.201,7.261,7.312,7.349
