Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
COYL,0.189,0.245,0.270,0.315,0.359,0.407,0.500,0.594,0.711,0.817,0.931,1.036,1.132,1.281,1.410,1.524,1.706,1.864,2.079,2.223,2.361,2.476,2.704,3.191,3.463,3.602,3.859,4.247,4.554,4.677,4.710,4.868
CRAI_P,0.165,0.214,0.236,0.275,0.313,0.355,0.437,0.518,0.621,0.714,0.813,0.905,0.989,1.119,1.232,1.331,1.490,1.628,1.816,1.942,2.062,2.163,2.362,2.787,3.025,3.146,3.371,3.710,3.977,4.085,4.114,4.252
CREB_1,2.720,3.523,3.886,4.525,5.154,5.845,7.185,8.527,10.220,11.742,13.370,14.880,16.260,18.407,20.256,21.890,24.505,26.781,29.871,31.940,33.916,35.570,38.843,45.843,49.754,51.746,55.440,61.016,65.418,67.193,67.660,69.928
CROO,0.469,0.607,0.670,0.780,0.889,1.007,1.239,1.469,1.761,2.024,2.305,2.564,2.803,3.172,3.491,3.773,4.224,4.616,5.149,5.505,5.846,6.131,6.695,7.902,8.575,8.919,9.555,10.517,11.275,11.582,11.663,12.053
CUMB,0.185,0.240,0.265,0.308,0.351,0.398,0.489,0.581,0.696,0.800,0.911,1.014,1.108,1.254,1.380,1.491,1.669,1.824,2.035,2.176,2.310,2.423,2.646,3.123,3.389,3.525,3.777,4.157,4.456,4.577,4.609,4.764
CUPA,0.228,0.296,0.326,0.380,0.432,0.490,0.603,0.715,0.857,0.985,1.122,1.248,1.364,1.544,1.700,1.837,2.056,2.247,2.506,2.680,2.846,2.984,3.259,3.846,4.175,4.342,4.652,5.119,5.489,5.638,5.677,5.867
CURR,0.078,0.100,0.111,0.129,0.147,0.167,0.205,0.243,0.291,0.335,0.381,0.424,0.464,0.525,0.578,0.624,0.699,0.764,0.852,0.911,0.967,1.014,1.108,1.307,1.419,1.475,1.581,1.740,1.865,1.916,1.929,1.994
DALM3,0.146,0.189,0.208,0.242,0.276,0.313,0.385,0.457,0.548,0.629,0.716,0.797,0.871,0.986,1.086,1.173,1.313,1.435,1.601,1.712,1.818,1.906,2.082,2.457,2.666,2.773,2.971,3.270,3.506,3.601,3.626,3.747
DEVM,0.091,0.118,0.130,0.151,0.173,0.196,0.240,0.285,0.342,0.393,0.447,0.498,0.544,0.616,0.678,0.733,0.820,0.896,1.000,1.069,1.135,1.190,1.300,1.534,1.665,1.732,1.856,2.042,2.189,2.249,2.264,2.340
DEVO,0.324,0.420,0.463,0.539,0.614,0.696,0.856,1.016,1.218,1.399,1.593,1.773,1.937,2.193,2.414,2.608,2.920,3.191,3.559,3.806,4.041,4.238,4.628,5.462,5.928,6.165,6.606,7.270,7.794,8.006,8.062,8.332
DEWP,0.175,0.227,0.251,0.292,0.332,0.377,0.463,0.550,0.659,0.757,0.862,0.959,1.048,1.187,1.306,1.411,1.580,1.727,1.926,2.059,2.187,2.293,2.504,2.955,3.208,3.336,3.574,3.934,4.217,4.332,4.362,4.508
DOUN_P,0.037,0.048,0.053,0.062,0.070,0.079,0.098,0.116,0.139,0.160,0.182,0.202,0.221,0.250,0.275,0.298,0.333,0.364,0.406,0.434,0.461,0.484,0.528,0.623,0.677,0.704,0.754,0.830,0.890,0.914,0.920,0.951
DRAK_1,1.175,1.522,1.678,1.954,2.226,2.524,3.103,3.683,4.414,5.071,5.774,6.426,7.023,7.950,8.749,9.454,10.584,11.566,12.901,13.795,14.648,15.362,16.776,19.799,21.489,22.349,23.944,26.352,28.253,29.020,29.222,30.201
DRAX_1,0.719,0.932,1.028,1.197,1.363,1.546,1.901,2.256,2.703,3.106,3.537,3.936,4.301,4.869,5.358,5.790,6.482,7.084,7.902,8.449,8.972,9.409,10.275,12.127,13.161,13.688,14.665,16.140,17.305,17.774,17.898,18.498
DRCR,0.100,0.130,0.143,0.167,0.190,0.215,0.265,0.314,0.377,0.433,0.493,0.548,0.599,0.678,0.746,0.806,0.903,0.987,1.100,1.177,1.249,1.310,1.431,1.689,1.833,1.906,2.042,2.248,2.410,2.475,2.493,2.576
