Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CLYM,21.653,21.388,21.492,21.476,21.530,21.613,21.564,21.201,20.927,20.730,20.561,20.496,20.626,20.737,20.857,20.971,21.072,21.230,21.385,21.532,21.675,21.761,21.860,21.992,22.120,22.238,22.348,22.441,22.525,22.598,22.661,22.714
COAT,18.285,18.061,18.149,18.135,18.182,18.252,18.210,17.904,17.672,17.506,17.363,17.308,17.418,17.512,17.613,17.709,17.794,17.928,18.058,18.183,18.304,18.376,18.460,18.572,18.679,18.779,18.872,18.950,19.021,19.083,19.137,19.181
COCK,15.094,14.909,14.982,14.971,15.009,15.067,15.032,14.780,14.589,14.451,14.333,14.288,14.378,14.456,14.539,14.619,14.689,14.800,14.907,15.010,15.110,15.170,15.239,15.331,15.420,15.502,15.579,15.644,15.702,15.753,15.797,15.834
CONQA1;SASA,117.237,115.801,116.366,116.277,116.573,117.022,116.755,114.791,113.308,112.242,111.324,110.972,111.676,112.279,112.927,113.543,114.090,114.948,115.783,116.584,117.358,117.822,118.358,119.074,119.765,120.402,120.998,121.502,121.957,122.351,122.696,122.980
COUA_P,7.972,7.875,7.913,7.907,7.927,7.958,7.939,7.806,7.705,7.633,7.570,7.546,7.594,7.635,7.679,7.721,7.758,7.817,7.873,7.928,7.981,8.012,8.049,8.097,8.144,8.187,8.228,8.262,8.293,8.320,8.344,8.363
COVE_1,199.420,196.977,197.939,197.786,198.290,199.054,198.599,195.259,192.737,190.922,189.361,188.764,189.960,190.986,192.088,193.137,194.067,195.527,196.947,198.309,199.626,200.415,201.328,202.545,203.719,204.803,205.818,206.676,207.449,208.119,208.706,209.190
COWL_1;ECLA_H,191.847,189.496,190.422,190.276,190.759,191.495,191.057,187.844,185.417,183.671,182.170,181.596,182.746,183.733,184.793,185.803,186.697,188.102,189.468,190.778,192.045,192.804,193.682,194.853,195.983,197.025,198.002,198.827,199.571,200.216,200.781,201.246
COYL,12.134,11.986,12.044,12.035,12.066,12.112,12.084,11.881,11.728,11.617,11.522,11.486,11.559,11.621,11.688,11.752,11.809,11.897,11.984,12.067,12.147,12.195,12.250,12.324,12.396,12.462,12.524,12.576,12.623,12.664,12.699,12.729
CRAI_P,10.684,10.553,10.604,10.596,10.623,10.664,10.640,10.461,10.326,10.228,10.145,10.113,10.177,10.232,10.291,10.347,10.397,10.475,10.551,10.624,10.695,10.737,10.786,10.851,10.914,10.972,11.026,11.072,11.114,11.150,11.181,11.207
CREB_1,180.580,178.368,179.239,179.101,179.557,180.249,179.837,176.813,174.528,172.885,171.471,170.931,172.014,172.943,173.941,174.891,175.733,177.055,178.341,179.574,180.766,181.481,182.307,183.410,184.473,185.455,186.374,187.150,187.850,188.458,188.989,189.427
