Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DRCR,5.768,5.519,5.444,5.350,5.273,5.194,5.123,5.050,4.981,4.908,4.840,4.788,4.780,4.777,4.785,4.795,4.810,4.828,4.849,4.878,4.911,4.954,5.017,5.077,5.148,5.204,5.259,5.305,5.340,5.354,5.363,5.377
DRUM,13.596,13.010,12.834,12.612,12.429,12.244,12.077,11.904,11.741,11.570,11.410,11.286,11.268,11.262,11.281,11.303,11.338,11.381,11.430,11.498,11.576,11.679,11.826,11.969,12.135,12.268,12.397,12.506,12.589,12.621,12.641,12.676
DUBE_P,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DUDH_P,16.294,15.591,15.380,15.115,14.895,14.674,14.473,14.265,14.071,13.866,13.674,13.525,13.503,13.496,13.519,13.546,13.588,13.640,13.698,13.779,13.873,13.996,14.172,14.343,14.542,14.702,14.856,14.988,15.087,15.125,15.149,15.191
DUGR_P,1.594,1.526,1.505,1.479,1.458,1.436,1.416,1.396,1.377,1.357,1.338,1.323,1.321,1.321,1.323,1.325,1.330,1.335,1.340,1.348,1.358,1.370,1.387,1.404,1.423,1.439,1.454,1.467,1.476,1.480,1.482,1.487
DUMF,17.415,16.664,16.438,16.155,15.920,15.684,15.468,15.246,15.039,14.820,14.615,14.456,14.432,14.425,14.449,14.478,14.522,14.578,14.640,14.727,14.828,14.960,15.147,15.330,15.543,15.714,15.878,16.019,16.125,16.165,16.191,16.236
DUNB,7.166,6.857,6.765,6.648,6.551,6.454,6.366,6.274,6.189,6.099,6.014,5.949,5.939,5.936,5.946,5.958,5.976,5.999,6.025,6.060,6.102,6.156,6.233,6.309,6.396,6.467,6.534,6.592,6.636,6.652,6.663,6.682
DUNF,9.063,8.673,8.555,8.408,8.286,8.162,8.051,7.935,7.827,7.713,7.606,7.523,7.511,7.507,7.520,7.535,7.558,7.587,7.620,7.665,7.717,7.786,7.883,7.978,8.089,8.178,8.264,8.337,8.392,8.413,8.427,8.450
DUNO_P,4.092,3.915,3.862,3.796,3.741,3.685,3.635,3.583,3.534,3.482,3.434,3.397,3.391,3.389,3.395,3.402,3.412,3.425,3.440,3.460,3.484,3.515,3.559,3.602,3.652,3.692,3.731,3.764,3.789,3.798,3.805,3.815
DYCE_P,10.945,10.473,10.331,10.153,10.006,9.857,9.722,9.583,9.452,9.314,9.185,9.085,9.071,9.066,9.081,9.099,9.127,9.162,9.201,9.256,9.319,9.402,9.520,9.635,9.769,9.876,9.980,10.068,10.134,10.160,10.176,10.205
EALI_6,67.709,64.789,63.912,62.811,61.898,60.979,60.144,59.281,58.472,57.622,56.823,56.204,56.114,56.085,56.178,56.290,56.465,56.681,56.922,57.259,57.652,58.163,58.893,59.604,60.432,61.097,61.736,62.283,62.694,62.852,62.953,63.128
