GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
SSHI_3,1052.7,1068.7,1084.8,1100.7,1116.7,1132.7,1148.7,1164.7,1180.7,1196.7,1212.7,1228.7,1244.7,1260.6,1276.6,1292.6,1308.5,1324.5,1340.5,1356.5,1372.6,1388.6,1404.6,1420.6,1436.5,1452.5,1468.6,1484.5,1500.5,1516.5,
SPEN_1,3599.5,3654.2,3708.9,3763.5,3818.2,3872.9,3927.6,3982.2,4036.9,4091.6,4146.3,4201.0,4255.6,4310.3,4365.0,4419.5,4474.0,4528.7,4583.4,4638.0,4692.9,4747.7,4802.4,4857.1,4911.8,4966.4,5021.1,5075.8,5130.5,5185.1,
STEN_1,4015.4,4076.4,4137.5,4198.4,4259.4,4320.5,4381.4,4442.4,4503.5,4564.4,4625.4,4686.4,4747.4,4808.4,4869.4,4930.2,4991.0,5052.0,5113.0,5174.0,5235.1,5296.4,5357.3,5418.4,5479.3,5540.3,5601.3,5662.4,5723.3,5784.3,
STES_1,3408.3,3460.2,3511.9,3563.7,3615.5,3667.3,3719.0,3770.8,3822.6,3874.3,3926.1,3977.9,4029.7,4081.5,4133.2,4184.9,4236.5,4288.2,4340.0,4391.8,4443.7,4495.6,4547.4,4599.2,4650.9,4702.8,4754.5,4806.3,4858.0,4909.8,
TEMP_3,154.0,156.3,158.7,161.0,163.4,165.7,168.0,170.4,172.7,175.1,177.4,179.7,182.1,184.4,186.7,189.1,191.4,193.7,196.1,198.4,200.8,203.1,205.5,207.8,210.1,212.5,214.8,217.2,219.5,221.8,
THOM_6,2134.8,2167.3,2199.7,2232.2,2264.6,2297.0,2329.4,2361.9,2394.3,2426.7,2459.1,2491.6,2524.0,2556.4,2588.8,2621.2,2653.5,2685.9,2718.3,2750.8,2783.3,2815.8,2848.2,2880.7,2913.1,2945.6,2978.0,3010.4,3042.8,3075.3,
THUR_6,3317.7,3368.2,3418.6,3469.0,3519.4,3569.8,3620.2,3670.6,3721.0,3771.4,3821.8,3872.2,3922.6,3972.9,4023.3,4073.6,4123.9,4174.3,4224.7,4275.0,4325.6,4376.1,4426.5,4476.9,4527.3,4577.7,4628.1,4678.5,4729.0,4779.3,
TYNE_1,2570.0,2609.1,2648.1,2687.2,2726.2,2765.2,2804.3,2843.3,2882.4,2921.4,2960.4,2999.5,3038.5,3077.6,3116.6,3155.6,3194.5,3233.5,3272.5,3311.6,3350.7,3389.9,3428.9,3468.0,3507.0,3546.0,3585.1,3624.2,3663.2,3702.2,
TYNE_2,853.4,866.4,879.3,892.3,905.2,918.2,931.2,944.2,957.1,970.1,983.0,996.0,1009.0,1021.9,1034.9,1047.8,1060.7,1073.7,1086.6,1099.6,1112.6,1125.6,1138.6,1151.5,1164.5,1177.5,1190.4,1203.4,1216.4,1229.3,Note: TYNE2 is operated by an IDNO allocated to GSP Group/licence area F
WBOL_6,3456.6,3509.3,3561.7,3614.3,3666.8,3719.3,3771.8,3824.3,3876.8,3929.3,3981.8,4034.3,4086.8,4139.3,4191.9,4244.2,4296.5,4349.1,4401.5,4454.1,4506.7,4559.4,4611.9,4664.4,4716.9,4769.4,4821.9,4874.4,4926.9,4979.5,
WMEL_1,9509.2,9653.9,9798.3,9942.8,10087.2,10231.6,10376.1,10520.6,10665.0,10809.5,10953.9,11098.4,11242.8,11387.3,11531.7,11675.7,11819.8,11964.2,12108.6,12253.0,12397.9,12542.8,12687.3,12831.7,12976.2,13120.6,13265.1,13409.5,13554.0,13698.5,
WIBA_3,738.5,749.7,760.9,772.1,783.4,794.6,805.8,817.0,828.2,839.4,850.7,861.9,873.1,884.3,895.5,906.7,917.9,929.1,940.3,951.5,962.8,974.0,985.2,996.5,1007.7,1018.9,1030.1,1041.4,1052.6,1063.8,
AYRR,546.9,555.2,563.5,571.8,580.1,588.4,596.7,605.1,613.4,621.7,629.9,638.3,646.6,654.9,663.2,671.5,679.7,688.1,696.3,704.7,713.0,721.3,729.6,737.9,746.3,754.6,762.8,771.2,779.5,787.8,
