GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Tynemouth 2,41985.0,42260.0,42573.9,42839.8,43061.1,43261.4,43468.2,43669.2,43861.0,44046.2,44234.6,44422.0,44603.4,44778.5,44946.6,45119.5,45284.4,45443.9,45593.0,45737.2,45885.9,46030.5,46160.1,46291.3,46422.6,46553.9,46686.6,46819.8,46953.4,47087.7,Note: TYNE2 is operated by an IDNO allocated to GSP Group/licence area F
West Boldon,135308.2,136192.7,137203.4,138062.1,138773.8,139421.7,140087.6,140735.7,141355.4,141949.1,142556.7,143159.2,143747.1,144309.1,144852.5,145408.6,145941.6,146455.1,146935.2,147399.6,147879.8,148343.6,148762.8,149184.3,149607.6,150032.8,150459.6,150888.1,151317.8,151748.9,
West Melton,312428.0,314471.3,316806.2,318788.1,320431.9,321928.2,323464.5,324961.3,326391.1,327764.0,329166.3,330559.2,331915.7,333213.2,334467.8,335751.1,336981.6,338166.5,339275.5,340346.9,341458.7,342529.5,343497.3,344469.6,345447.2,346429.7,347415.3,348404.8,349397.1,350392.5,
Wincobank,16512.5,16621.4,16744.1,16848.9,16935.5,17015.3,17096.1,17175.2,17250.9,17322.9,17398.0,17471.5,17542.9,17610.9,17677.3,17746.3,17810.0,17873.2,17932.2,17987.9,18047.5,18103.5,18154.8,18205.9,18257.6,18310.5,18361.9,18414.8,18466.5,18519.0,
Ayr,16028.3,16132.1,16253.0,16353.9,16438.3,16515.1,16593.6,16670.9,16744.5,16813.9,16887.1,16957.4,17027.5,17093.5,17158.9,17223.8,17287.9,17349.0,17404.7,17459.9,17517.8,17572.2,17621.4,17671.8,17722.0,17771.7,17822.4,17873.4,17924.5,17976.0,
Bainsford,7069.5,7116.2,7168.4,7213.3,7250.8,7284.3,7319.0,7353.4,7385.3,7416.5,7448.6,7479.8,7510.0,7539.8,7568.4,7596.9,7625.0,7651.5,7677.6,7701.5,7727.0,7750.2,7772.3,7795.3,7817.4,7838.8,7861.0,7883.2,7905.6,7929.3,
Bathgate,12804.9,12888.7,12983.6,13065.8,13132.1,13193.9,13256.3,13317.7,13376.7,13432.8,13490.7,13547.4,13603.9,13656.1,13707.9,13760.0,13810.7,13859.0,13905.5,13949.1,13993.7,14038.1,14078.0,14117.4,14157.5,14198.4,14238.6,14279.0,14319.5,14360.0,
Berwick,9010.0,9068.3,9136.5,9193.4,9240.9,9284.0,9327.7,9371.9,9412.1,9452.5,9492.4,9533.3,9571.9,9609.6,9645.1,9683.0,9717.7,9752.4,9783.4,9814.9,9847.3,9878.5,9905.6,9933.1,9961.3,9989.8,10018.6,10047.5,10076.5,10104.5,
Birkenhead,130584.9,131438.8,132414.9,133242.4,133930.2,134554.3,135197.7,135822.1,136419.9,136994.5,137580.6,138162.7,138729.9,139272.1,139795.9,140332.5,140846.2,141342.1,141805.7,142254.2,142718.8,143166.2,143570.1,143976.8,144385.3,144796.2,145207.7,145620.8,146036.6,146451.8,
Bonnybridge,28194.3,28378.2,28588.4,28767.6,28915.5,29051.4,29189.6,29324.0,29453.5,29577.0,29703.6,29829.4,29952.7,30068.8,30183.2,30298.5,30409.3,30516.4,30616.4,30713.3,30813.9,30909.5,30996.6,31085.3,31173.5,31261.8,31350.1,31440.3,31529.2,31619.3,
Braehead Park,11116.5,11189.7,11272.8,11343.2,11401.4,11455.3,11510.1,11562.9,11614.2,11663.3,11712.2,11762.4,11809.8,11857.2,11901.2,11947.5,11990.7,12032.4,12072.8,12110.6,12149.9,12187.7,12223.0,12256.8,12291.6,12326.3,12362.4,12397.2,12432.1,12468.2,
Broxburn,20268.7,20401.6,20552.8,20681.1,20787.3,20884.9,20985.0,21081.6,21173.8,21263.8,21355.1,21444.2,21533.5,21617.3,21698.5,21781.6,21861.2,21937.9,22010.9,22080.2,22152.0,22221.1,22283.7,22346.7,22410.1,22473.8,22537.9,22602.2,22666.7,22731.5,
Capenhurst,164343.6,165417.9,166646.5,167689.1,168554.0,169339.9,170148.4,170936.4,171688.1,172410.2,173148.8,173879.7,174594.7,175276.6,175936.1,176611.2,177259.5,177882.6,178465.1,179028.5,179614.2,180176.8,180685.4,181198.4,181712.7,182229.2,182746.4,183267.1,183789.3,184313.3,
Carntyne,9126.0,9185.2,9254.0,9311.5,9359.2,9403.6,9448.3,9491.5,9533.1,9573.7,9614.5,9654.7,9695.0,9732.9,9770.0,9806.8,9843.2,9878.0,9910.6,9940.7,9973.2,10004.4,10033.2,10062.3,10090.9,10118.3,10147.6,10177.0,10205.0,10235.1,
Chapelcross,14235.0,14327.2,8372.1,8424.2,8467.7,8507.1,8547.7,8587.5,8625.0,8661.2,8698.0,8735.4,8771.4,8805.2,8838.5,8872.6,8905.3,8936.0,8965.5,8994.1,9022.9,9051.5,9077.3,9103.1,9129.0,9154.9,9180.8,9206.9,9233.0,9259.1,
Charlotte Street,9353.2,9414.0,9484.1,9542.7,9591.9,9637.5,9683.0,9728.0,9771.0,9812.0,9854.4,9896.0,9935.6,9975.1,10012.7,10051.5,10088.4,10123.5,10156.3,10188.1,10222.1,10253.5,10282.4,10311.9,10341.2,10371.0,10399.7,10430.1,10459.0,10488.8,
Clyde’s Mill,25166.8,25331.9,25520.6,25679.3,25812.7,25932.9,26056.5,26177.4,26291.6,26403.2,26515.8,26627.8,26736.8,26842.1,26943.3,27046.4,27145.6,27241.5,27329.8,27416.6,27505.5,27592.5,27670.6,27748.6,27827.4,27906.1,27986.2,28065.1,28145.8,28225.9,
Coatbridge,22523.7,22671.4,22840.0,22982.9,23101.6,23209.5,23319.9,23427.6,23531.7,23629.8,23731.1,23831.8,23929.0,24022.6,24112.6,24206.0,24294.3,24379.6,24459.3,24536.5,24616.7,24694.0,24764.8,24834.3,24904.8,24975.3,25047.3,25118.1,25189.1,25261.3,
Cockenzie,19211.7,19336.7,19480.3,19601.8,19703.8,19796.0,19889.8,19982.0,20070.6,20154.2,20241.0,20326.1,20409.5,20489.2,20566.8,20645.8,20720.4,20794.3,20861.9,20928.8,20997.1,21062.9,21121.4,21181.2,21241.3,21302.7,21362.3,21423.7,21485.2,21545.9,
Connah's Quay,134294.9,135172.8,136176.6,137028.0,137734.9,138378.3,139038.9,139681.0,140296.8,140886.0,141489.4,142088.2,142670.3,143228.3,143768.2,144320.3,144848.4,145357.7,145833.9,146295.9,146772.6,147233.1,147649.8,148066.7,148486.9,148909.8,149333.9,149758.1,150185.1,150613.8,
Coylton,18748.8,18871.7,19011.5,19130.7,19229.5,19319.1,19411.1,19500.8,19586.5,19669.1,19752.7,19836.3,19918.4,19996.1,20071.4,20147.7,20221.4,20293.2,20360.4,20423.9,20490.5,20554.7,20612.7,20671.8,20730.4,20788.6,20847.8,20907.2,20966.8,21026.6,
Crookston A,19858.2,19987.8,20135.9,20261.5,20366.4,20461.3,20559.4,20654.8,20745.3,20832.4,20922.2,21010.1,21096.8,21178.7,21259.1,21339.7,21418.5,21493.1,21564.3,21631.8,21703.3,21770.9,21833.0,21893.8,21956.0,22018.2,22082.0,22144.6,22207.4,22271.5,
Crookston B,16345.3,16452.2,16574.6,16678.1,16763.8,16842.5,16922.4,17001.2,17075.6,17146.7,17220.6,17293.0,17364.0,17431.8,17497.8,17565.0,17629.8,17691.2,17750.1,17805.6,17863.7,17919.7,17970.7,18021.6,18072.7,18123.6,18175.7,18226.5,18278.9,18330.6,
Cumbernauld,11925.1,12002.6,12091.7,12167.4,12230.5,12288.2,12346.8,12402.9,12458.6,12510.7,12563.8,12617.8,12669.0,12718.7,12765.8,12815.6,12861.8,12907.4,12950.2,12990.1,13032.7,13073.8,13111.4,13147.9,13185.2,13222.9,13260.9,13297.6,13335.9,13374.8,
Cupar,17993.8,18111.1,18245.8,18359.2,18453.8,18540.8,18628.9,18715.2,18797.8,18876.7,18957.9,19038.0,19115.1,19190.6,19262.8,19335.7,19406.6,19475.9,19539.4,19600.8,19665.6,19726.5,19782.3,19838.7,19895.0,19951.9,20007.9,20065.6,20122.0,20179.4,
Currie,5543.3,5580.2,5620.9,5656.5,5685.4,5712.1,5739.8,5765.8,5791.1,5816.1,5840.5,5864.8,5889.2,5912.8,5934.1,5957.2,5979.5,5999.6,6019.8,6039.4,6058.3,6077.9,6094.1,6111.7,6129.0,6146.3,6163.6,6182.4,6199.8,6217.0,
